Date,Open,High,Low,Close
12/30/2024,"17.05","17.00","17.00","17.00"
12/27/2024,"17.35","16.27","16.27","16.27"
12/23/2024,"17.85","17.19","17.19","17.19"
12/20/2024,"19.07","16.84","16.84","16.84"
12/19/2024,"16.85","18.63","18.63","18.63"
12/18/2024,"14.56","14.52","14.52","14.52"
12/17/2024,"14.77","14.57","14.57","14.57"
12/16/2024,"14.34","14.42","14.42","14.42"
12/13/2024,"13.78","13.75","13.75","13.75"
12/12/2024,"13.95","13.84","13.84","13.84"
12/11/2024,"15.30","14.07","14.07","14.07"
12/10/2024,"14.90","15.18","15.18","15.18"
12/09/2024,"14.82","14.68","14.68","14.68"
12/06/2024,"15.18","14.48","14.48","14.48"
12/05/2024,"15.68","15.01","15.01","15.01"
12/04/2024,"16.38","15.84","15.84","15.84"
12/03/2024,"16.62","16.47","16.47","16.47"
12/02/2024,"18.07","17.18","17.18","17.18"
11/29/2024,"17.72","16.96","16.96","16.96"
11/28/2024,"17.73","17.60","17.60","17.60"
11/27/2024,"18.13","18.30","18.30","18.30"
11/26/2024,"17.95","17.73","17.73","17.73"
11/25/2024,"17.60","17.21","17.21","17.21"
11/22/2024,"18.29","17.97","17.97","17.97"
11/21/2024,"18.95","18.95","18.95","18.95"
11/20/2024,"18.64","20.06","20.06","20.06"
11/19/2024,"17.67","19.23","19.23","19.23"
11/18/2024,"17.84","17.79","17.79","17.79"
11/15/2024,"17.86","17.21","17.21","17.21"
11/14/2024,"17.12","17.10","17.10","17.10"
11/13/2024,"17.83","17.68","17.68","17.68"
11/12/2024,"17.44","17.94","17.94","17.94"
11/11/2024,"16.67","16.79","16.79","16.79"
11/08/2024,"16.56","16.78","16.78","16.78"
11/07/2024,"17.76","16.74","16.74","16.74"
11/06/2024,"18.78","18.49","18.49","18.49"
11/05/2024,"21.06","19.85","19.85","19.85"
11/04/2024,"21.98","22.06","20.82","21.98"
11/01/2024,"21.36","21.09","21.09","21.09"
10/31/2024,"20.95","22.18","20.70","20.95"
10/30/2024,"19.28","19.93","19.93","19.93"
10/29/2024,"18.66","18.99","18.99","18.99"
10/28/2024,"19.22","18.66","18.66","18.66"
10/25/2024,"19.14","18.92","18.92","18.92"
10/24/2024,"18.62","19.17","19.17","19.17"
10/23/2024,"18.52","18.99","18.99","18.99"
10/22/2024,"18.41","18.62","18.62","18.62"
10/21/2024,"17.90","18.85","18.85","18.85"
10/18/2024,"17.99","18.07","17.08","17.99"
10/17/2024,"18.88","18.27","18.27","18.27"
10/16/2024,"19.14","19.21","19.21","19.21"
10/15/2024,"17.54","18.60","18.60","18.60"
10/14/2024,"18.81","17.67","17.67","17.67"
10/11/2024,"19.42","18.47","18.47","18.47"
10/10/2024,"19.61","19.19","19.19","19.19"
10/09/2024,"20.68","19.37","19.37","19.37"
10/08/2024,"21.83","20.28","20.28","20.28"
10/07/2024,"20.84","20.22","20.22","20.22"
10/04/2024,"21.47","20.25","20.25","20.25"
10/03/2024,"20.54","21.22","21.22","21.22"
10/02/2024,"20.74","19.89","19.89","19.89"
10/01/2024,"18.15","21.54","17.68","18.15"
09/27/2024,"16.20","15.95","15.95","15.95"
